iso_code;year;nodf_drought;nodf_earthquakes;nodf_volcanic_activity;nodf_floods;nodf_storms;nodf_landslides;nodf_wildfires;nodf_extreme_temperatures
COD;2000;0;1.7;20;13.9;4.9;1.2;0;0
COD;2010;0;0.3;0;45.3;0;26.8;1.1;0
COD;2020;0;0;10.67;33;8.67;0;0;0
DNK;1950;0;0;0;0;0;0;0;0
DNK;1960;0;0;0;0;0;0;0;0
DNK;1970;0;0;0;0;0;0;0;0
DNK;1980;0;0;0;0;1.1;0;0;0
DNK;1990;0;0;0;0;0.8;0;0;0
DNK;2000;0;0;0;0;0.5;0;0;0
DNK;2010;0;0;0;0;0.2;0;0;0
DNK;2020;0;0;0;0;0.33;0;0;0
DJI;1950;0;0;0;0;0;0;0;0
DJI;1960;0;0;0;0;0;0;0;0
DJI;1970;0;0;0;0;0;0;0;0
DJI;1980;0;0;0;3.5;0;0;0;0
DJI;1990;0;0;0;14.5;0;0;0;0
DJI;2000;0;0;0;5.1;0;0;0;0
DJI;2010;0;0;0;1.1;0.2;0;0;0
DJI;2020;0;0;0;2.67;0;0;0;0
DMA;1950;0;0;0;0;0;0;0;0
DMA;1960;0;0;0;0;0;0;0;0
DMA;1970;0;0;0;0;4;0;0;0
DMA;1980;0;0;0;0;0.2;0;0;0
DMA;1990;0;0;0;0;0.2;0;0;0
DMA;2000;0;0;0;0;0.2;0;0;0
DMA;2010;0;0;0;0;9.4;0;0;0
DMA;2020;0;0;0;0;0;0;0;0
DOM;1950;0;0;0;0;0;0;0;0
DOM;1960;0;0;0;0;48.1;0;0;0
DOM;1970;0;0;0;3.2;140;0;0;0
DOM;1980;0;0;0;3.2;2.2;0;0;0
DOM;1990;0;0;0;4.3;38.2;0;0;0
DOM;2000;0;0.3;0;72.3;21.1;0;0;0
DOM;2010;0;0;0;2.9;2.6;0;0;0
DOM;2020;0;0;0;0;3.33;0;0;0
ECU;1950;0;0;0;12.1;0;0;0;0
ECU;1960;0;0;0;0;0;5;0;0
ECU;1970;0;4.9;0.1;2;0;10.5;0;0
ECU;1980;0;501;0;34.2;0;20;0;0
ECU;1990;0;3.7;0;26.7;0;46;0;0
ECU;2000;0;0;0.5;18.3;0;4.4;0;0
ECU;2010;0;67.6;0;7.8;0;3.3;0.5;0
