iso_code;year;total_reconstruction_costs;total_insured_damages;total_economic_damages
JOR;2000;0;0;0
JOR;2010;0;0;349000000
JOR;2020;0;0;0
KAZ;1950;0;0;0
KAZ;1960;0;0;50000
KAZ;1970;0;0;0
KAZ;1980;0;0;0
KAZ;1990;0;0;3953200
KAZ;2000;0;0;14516200
KAZ;2010;0;0;10687600
KAZ;2020;0;0;0
KEN;1950;0;0;0
KEN;1960;0;0;5000
KEN;1970;0;0;1000000
KEN;1980;0;0;0
KEN;1990;0;0;1180000
KEN;2000;0;0;10053800
KEN;2010;19400000;100000;48600000
KEN;2020;0;0;0
KIR;1950;0;0;0
KIR;1960;0;0;0
KIR;1970;0;0;0
KIR;1980;0;0;0
KIR;1990;0;0;0
KIR;2000;0;0;0
KIR;2010;0;0;0
KIR;2020;0;0;0
KWT;1950;0;0;0
KWT;1960;0;0;0
KWT;1970;0;0;0
KWT;1980;0;0;0
KWT;1990;0;0;0
KWT;2000;0;0;0
KWT;2010;0;0;0
KWT;2020;0;0;0
KGZ;1950;0;0;0
KGZ;1960;0;0;0
KGZ;1970;0;0;150000
KGZ;1980;0;0;0
KGZ;1990;0;0;20140000
KGZ;2000;0;0;436000
KGZ;2010;0;0;1200000
KGZ;2020;0;0;83333336
LAO;1950;0;0;0
LAO;1960;0;0;1658000
LAO;1970;0;0;20000
LAO;1980;0;0;0
LAO;1990;0;0;32777900
LAO;2000;0;0;10100000
LAO;2010;0;0;35605000
LAO;2020;0;0;40000
LVA;1950;0;0;0
LVA;1960;0;0;0
LVA;1970;0;0;0
LVA;1980;0;0;0
LVA;1990;0;0;50000
LVA;2000;0;4000000;32500000
LVA;2010;0;0;0
LVA;2020;0;0;0
LBN;1950;0;0;0
LBN;1960;0;0;0
LBN;1970;0;0;0
LBN;1980;0;0;1000000
LBN;1990;0;0;15500000
LBN;2000;0;0;0
LBN;2010;0;0;0
LBN;2020;0;0;0
LSO;1950;0;0;0
LSO;1960;0;0;0
LSO;1970;0;0;0
LSO;1980;0;0;0
LSO;1990;0;0;100000
LSO;2000;0;0;0
LSO;2010;0;0;0
LSO;2020;0;0;0
LBR;1950;0;0;0
LBR;1960;0;0;0
LBR;1970;0;0;0
LBR;1980;0;0;0
LBR;1990;0;0;4700000
LBR;2000;0;0;0
LBR;2010;0;0;0
LBR;2020;0;0;0
LBY;1950;0;0;0
LBY;1960;0;0;500000
LBY;1970;0;0;0
