iso_code;year;drought;earthquakes;volcanic_activity;floods;storms;landslides;wildfires;extreme_temperatures;disasters
BRN;1990;0;0;0;0;0;0;0;0;0.3
BRN;2000;0;0;0;0;0;0;0;0;0
BRN;2010;0;0;0;0;0;0;0;0;0
BRN;2020;0;0;0;0;0;0;0;0;0
BGR;1950;0;0;0;0;0;0;0;0;0
BGR;1960;0;0;0;0;0;0;0;0;0
BGR;1970;0;0;0;0;0;0;0;0;0
BGR;1980;0;0;0;0;0;0;0;0;0
BGR;1990;0;0;0;0;0;0;0;0;0
BGR;2000;0;0;0;0;0;0;0;0;0
BGR;2010;0;0;0;0;0;0;0;0;0
BGR;2020;0;0;0;0;0;0;0;0;0
BFA;1950;0;0;0;0;0;0;0;0;0
BFA;1960;0;0;0;0;0;0;0;0;0
BFA;1970;0;0;0;0;0;0;0;0;16.May
BFA;1980;0;0;0;0;0;0;0;0;306
BFA;1990;0;0;0;20;500;0;0;30;637.3
BFA;2000;0;52.5;0;1326;0;0;0;0;1404.3
BFA;2010;0;14;0;4588.7;0;0;0;0;4739.7
BFA;2020;0;0;0;3654;0;0;16,666,667;0;38,206,667
BDI;1950;0;0;0;0;0;0;0;0;0
BDI;1960;97500;0;0;0;0;0;0;0;97500
BDI;1970;44200;0;0;0;0;0;0;0;44290
BDI;1980;145000;0;0;2482.4;0;0;0;0;148539.6
BDI;1990;269629;0;0;6730;0;0;0;0;276435
BDI;2000;0;0;0;25964;0;0;0;0;31514.3
BDI;2010;685000;0;0;20232.4;0;0;0;0;708045.8
BDI;2020;966666.7;0;0;35,613,668;0;0;0;0;1010150.7
KHM;1950;0;0;0;0;0;0;0;0;0
KHM;1960;0;0;0;0;0;0;0;0;0
KHM;1970;0;0;0;0;0;0;0;0;0
KHM;1980;0;0;0;360;0;0;0;0;360
KHM;1990;65000;0;0;0;3081;0;0;0;68081
KHM;2000;241250;0;0;2896.5;0;0;0;0;250490.6
KHM;2010;0;0;0;5855;0;993.5;0;0;8643.7
KHM;2020;0;0;0;28035;16,666,666;0;0;0;29708
CMR;1950;0;0;0;0;0;0;0;0;0
CMR;1960;0;0;0;0;0;0;0;0;0
CMR;1970;0;0;0;0;0;0;0;0;0
CMR;1980;0;0;0;0;0;0;0;0;0
CMR;1990;500000;0;0;261357.4;0;0;0;0;788937.9
CMR;2000;155000;0;0;664418.2;17800;0;0;0;837232.6
CMR;2010;250000;0;0;414681.7;630;0;0;0;671109
CMR;2020;0;0;0;60,331,668;253286.67;0;0;0;313618.66
CAN;1950;0;0;0;0;0;0;0;0;0
CAN;1960;0;0;0;0;0;0;0;0;0
CAN;1970;40000;0;0;0;0;0;0;0;40000
CAN;1980;0;0;1000;100;0;0;0;0;1143.7
CAN;1990;18690;0;250;0;0;0;0;0;19111
CAN;2000;0;0;0;2450;0;0;0;0;3739.6
CAN;2010;1200;0;0;31369.5;0;0;0;0;36077
CAN;2020;0;0;0;59,800,668;0;33,333,332;0;0;59,915,668
CPV;1950;0;0;0;10700;0;0;0;0;10900.6
CPV;1960;0;0;0;0;0;0;0;0;2-Feb
CPV;1970;0;0;0;0;0;0;0;0;184
CPV;1980;3000;0;0;450;240;0;3200;20;7035
CPV;1990;0;0;0;3790;730;0;2060;0;7800.4
CPV;2000;0;0;0;1607;50;0;180;0;1924.3
CPV;2010;0;0;0;15331.3;90;0;14744.1;0;30874.4
CPV;2020;0;0;0;9,978,667;21,433,334;0;83,333,336;0;31496
CYM;1950;0;0;0;0;0;0;0;0;0
CYM;1960;0;0;0;0;0;0;0;0;0
CYM;1970;0;0;0;0;0;0;0;0;0
CYM;1980;0;0;0;0;760;0;0;0;772.2
CYM;1990;1000;0;130;0;0;0;0;0;1630.6
CYM;2000;3000;0;0;15;0;0;0;0;3015
CYM;2010;7000;0;250;0;0;0;0;0;7250
CYM;2020;15,364,333;0;0;8,333,333;0;0;0;0;23,697,666
CAF;1950;0;0;0;0;0;0;0;0;0
