iso_code;year;nopif_drought;nopif_earthquakes;nopif_volcanic_activity;nopif_floods;nopif_storms;nopif_landslides;nopif_wildfires;nopif_extreme_temperatures
ECU;2000;0;0;1;7;0;6;0;0
ECU;2010;0;640;0;7;0;0;7;0
ECU;2020;0;1;0;56;0;0;0;0
EGY;1950;0;3;0;0;0;0;0;0
EGY;1960;0;2;0;0;0;0;0;0
EGY;1970;0;0;0;0;0;0;0;0
EGY;1980;0;0;0;0;1;0;0;0
EGY;1990;0;1000;0;1;6;0;0;0
EGY;2000;0;0;0;7;4;0;0;11
EGY;2010;0;0;0;0;15;0;0;7
EGY;2020;0;0;0;283;0;0;0;0
SLV;1950;0;0;0;0;0;0;0;0
SLV;1960;0;114;0;0;4;0;0;0
SLV;1970;0;0;0;0;0;0;0;0
SLV;1980;0;2000;0;1800;0;0;0;0
SLV;1990;0;0;0;0;0;0;0;0
SLV;2000;0;812;0;0;0;0;0;0
SLV;2010;0;0;0;1;1;0;0;0
SLV;2020;0;0;0;0;0;0;0;0
ERI;1950;0;0;0;0;0;0;0;0
ERI;1960;0;0;0;0;0;0;0;0
ERI;1970;0;0;0;0;0;0;0;0
ERI;1980;0;0;0;0;0;0;0;0
ERI;1990;0;0;0;0;2;0;0;0
ERI;2000;0;0;0;1;0;0;0;0
ERI;2010;0;0;0;0;0;0;0;0
ERI;2020;0;0;0;0;0;0;0;0
EST;1950;0;0;0;0;0;0;0;0
EST;1960;0;0;0;0;0;0;0;0
EST;1970;0;0;0;0;0;0;0;0
EST;1980;0;0;0;0;0;0;0;0
EST;1990;0;0;0;0;0;0;0;0
EST;2000;0;0;0;0;0;0;0;0
EST;2010;0;0;0;0;0;0;0;0
EST;2020;0;0;0;0;0;0;0;0
SWZ;1950;0;0;0;0;0;0;0;0
SWZ;1960;0;0;0;0;0;0;0;0
SWZ;1970;0;0;0;0;0;0;0;0
SWZ;1980;0;0;0;0;0;0;0;0
SWZ;1990;0;0;0;0;0;0;0;0
SWZ;2000;0;0;0;0;0;0;0;0
SWZ;2010;0;0;0;0;0;0;0;0
SWZ;2020;0;0;0;0;0;0;0;0
ETH;1950;0;0;0;0;0;0;0;0
ETH;1960;0;17;0;0;0;0;0;0
ETH;1970;0;0;0;0;0;0;0;0
ETH;1980;0;0;0;0;0;0;0;0
ETH;1990;0;0;0;4;0;1;0;0
ETH;2000;0;0;0;13;0;0;1;0
ETH;2010;0;0;0;8;0;2;0;0
ETH;2020;0;0;0;0;0;0;0;0
FJI;1950;0;0;0;0;80;0;0;0
FJI;1960;0;0;0;0;0;0;0;0
FJI;1970;0;0;0;0;30;0;0;0
FJI;1980;0;0;0;0;26;0;0;0
FJI;1990;0;0;0;0;0;0;0;0
FJI;2000;0;0;0;0;0;0;0;0
FJI;2010;0;0;0;0;14;0;0;0
FJI;2020;0;0;0;0;0;0;0;0
FIN;1950;0;0;0;0;0;0;0;0
FIN;1960;0;0;0;0;0;0;0;0
FIN;1970;0;0;0;0;0;0;0;0
FIN;1980;0;0;0;0;0;0;0;0
FIN;1990;0;0;0;0;0;0;0;0
FIN;2000;0;0;0;0;0;0;0;0
FIN;2010;0;0;0;0;0;0;0;0
FIN;2020;0;0;0;0;0;0;0;0
FRA;1950;0;0;0;0;0;0;0;0
FRA;1960;0;8;0;0;0;0;0;0
FRA;1970;0;0;0;0;0;4;0;0
FRA;1980;0;0;0;3;0;2;15;0
FRA;1990;0;0;0;1;5;2;1;0
FRA;2000;0;0;0;1;21;0;0;20
FRA;2010;0;0;0;10;14;0;1;0
FRA;2020;0;0;0;3;36;0;0;0
GUF;1950;0;0;0;0;0;0;0;0
GUF;1960;0;0;0;0;0;0;0;0
GUF;1970;0;0;0;0;0;0;0;0
GUF;1980;0;0;0;0;0;0;0;0
GUF;1990;0;0;0;0;0;0;0;0
GUF;2000;0;0;0;0;0;1;0;0
GUF;2010;0;0;0;0;0;0;0;0
GUF;2020;0;0;0;0;0;0;0;0
PYF;1950;0;0;0;0;0;0;0;0
PYF;1960;0;0;0;0;0;0;0;0
PYF;1970;0;0;0;0;0;0;0;0
PYF;1980;0;0;0;0;5;0;0;0
PYF;1990;0;0;0;0;0;1;0;0
PYF;2000;0;0;0;0;0;0;0;0
PYF;2010;0;0;0;0;1;0;0;0
PYF;2020;0;0;0;0;0;0;0;0
GAB;1950;0;0;0;0;0;0;0;0
GAB;1960;0;0;0;0;0;0;0;0
GAB;1970;0;0;0;0;0;0;0;0
GAB;1980;0;0;0;0;0;0;0;0
GAB;1990;0;0;0;0;0;0;0;0
GAB;2000;0;0;0;0;0;0;0;0
GAB;2010;0;0;0;0;0;0;0;0
GAB;2020;0;0;0;0;0;0;0;0
GMB;1950;0;0;0;0;0;0;0;0
GMB;1960;0;0;0;0;0;0;0;0
GMB;1970;0;0;0;0;0;0;0;0
GMB;1980;0;0;0;0;0;0;0;0
GMB;1990;0;0;0;0;0;0;0;0
GMB;2000;0;0;0;0;13;0;0;0
GMB;2010;0;0;0;0;10;0;0;0
GMB;2020;0;0;0;0;33;0;0;0
GEO;1950;0;0;0;0;0;0;0;0
GEO;1960;0;0;0;0;0;0;0;0
GEO;1970;0;0;0;0;0;0;0;0
GEO;1980;0;0;0;0;0;0;0;0
GEO;1990;0;21;0;0;0;0;0;0
GEO;2000;0;8;0;0;0;0;0;0
GEO;2010;0;0;0;2;2;0;0;0
GEO;2020;0;0;0;0;0;0;0;0
