iso_code,year,nodf_drought,nodf_earthquakes,nodf_volcanic_activity,nodf_floods,nodf_storms,nodf_landslides,nodf_wildfires,nodf_extreme_temperatures
CYP,1990,0,0.2,0,0,0,0,0,44962
CYP,2000,0,0,0,0,0,0,0,0.9
CYP,2010,0,0,0,0,0,0,0,0
CYP,2020,0,0,0,0,0,0,12055,0
CZE,1950,0,0,0,0,0,0,0,0
CZE,1960,0,0,0,0,0,0,0,0
CZE,1970,0,0,0,0,0,0,0,0
CZE,1980,0,0,0,0,0,0,0,0
CZE,1990,0,0,0,45080,0,0,0,0
CZE,2000,0,0,0,45141,1,0,0,43.3
CZE,2010,0,0,0,45079,0,0,0,45111
CZE,2020,0,0,0,0,24504,0,0,0
COD,1950,0,0,0,0,0,0,0,0
COD,1960,0,45018,0,0,0,45031,0,0
COD,1970,0,0,45121,0,0,0,0,0
COD,1980,0,0,0,0,0,0,0,0
COD,1990,0,0.9,0,45022,0,0,0,0
COD,2000,0,45108,20,45182,45173,44958,0,0
COD,2010,0,0.3,0,45.3,0,45164,44927,0
COD,2020,0,0,24746,33,24685,0,0,0
DNK,1950,0,0,0,0,0,0,0,0
DNK,1960,0,0,0,0,0,0,0,0
DNK,1970,0,0,0,0,0,0,0,0
DNK,1980,0,0,0,0,44927,0,0,0
DNK,1990,0,0,0,0,0.8,0,0,0
DNK,2000,0,0,0,0,0.5,0,0,0
DNK,2010,0,0,0,0,0.2,0,0,0
DNK,2020,0,0,0,0,0.33,0,0,0
DJI,1950,0,0,0,0,0,0,0,0
DJI,1960,0,0,0,0,0,0,0,0
DJI,1970,0,0,0,0,0,0,0,0
DJI,1980,0,0,0,45049,0,0,0,0
DJI,1990,0,0,0,45060,0,0,0,0
DJI,2000,0,0,0,44931,0,0,0,0
DJI,2010,0,0,0,44927,0.2,0,0,0
DJI,2020,0,0,0,24504,0,0,0,0
DMA,1950,0,0,0,0,0,0,0,0
DMA,1960,0,0,0,0,0,0,0,0
DMA,1970,0,0,0,0,4,0,0,0
DMA,1980,0,0,0,0,0.2,0,0,0
DMA,1990,0,0,0,0,0.2,0,0,0
DMA,2000,0,0,0,0,0.2,0,0,0
DMA,2010,0,0,0,0,45025,0,0,0
DMA,2020,0,0,0,0,0,0,0,0
DOM,1950,0,0,0,0,0,0,0,0
DOM,1960,0,0,0,0,48.1,0,0,0
DOM,1970,0,0,0,44960,140,0,0,0
DOM,1980,0,0,0,44960,44959,0,0,0
DOM,1990,0,0,0,44989,38.2,0,0,0
DOM,2000,0,0.3,0,72.3,44947,0,0,0
DOM,2010,0,0,0,45171,45079,0,0,0
DOM,2020,0,0,0,0,12114,0,0,0
ECU,1950,0,0,0,44938,0,0,0,0
ECU,1960,0,0,0,0,0,5,0,0
ECU,1970,0,45173,0.1,2,0,45056,0,0
ECU,1980,0,501,0,34.2,0,20,0,0
ECU,1990,0,45110,0,45133,0,46,0,0
ECU,2000,0,0,0.5,45003,0,45020,0,0
ECU,2010,0,67.6,0,45145,0,44988,0.5,0
ECU,2020,0,0.33,0,27.33,0,0,0,0
EGY,1950,0,2,0,0,0,0,0,0
