iso_code,Year,Number of total people affected by drought,Number of total people affected by earthquakes,Number of total people affected by volcanic activity,Number of total people affected by floods,Number of total people affected by storms,Number of total people affected by landslides,Number of total people affected by wildfires,Number of total people affected by extreme temperatures
DJI,2020,64056,0,0,36666668,0,0,0,0
DMA,1950,0,0,0,0,0,0,0,0
DMA,1960,0,0,0,0,0,0,0,0
DMA,1970,0,0,0,0,7210,0,0,0
DMA,1980,0,0,0,0,1071,0,0,0
DMA,1990,0,0,0,0,571.6,0,0,0
DMA,2000,0,10,0,0,753,0,0,0
DMA,2010,0,0,0,0,10022.7,0,0,0
DMA,2020,0,0,0,0,0,0,0,0
DOM,1950,0,0,0,0,0,0,0,0
DOM,1960,24000,0,0,0,1294.2,0,0,0
DOM,1970,0,0,0,100,155400,0,0,0
DOM,1980,0,0,0,134204.5,200,0,0,0
DOM,1990,0,0,0,2100,100342.5,0,0,0
DOM,2000,0,201.5,0,11306,18519.4,0,0,0
DOM,2010,0,0,0,288186,15128.3,0,0,0
DOM,2020,0,0,0,70,484858.34,0,0,0
ECU,1950,0,0,0,0,0,0,0,0
ECU,1960,60000,0,0,7050,0,0,0,0
ECU,1970,0,10811.2,2500,18300,0,0.6,0,0
ECU,1980,0,15004.6,0,94000,0,600,80,0
ECU,1990,3400,4014.5,2420,25400.7,0,7506.5,0,0
ECU,2000,10750,0,49768.3,43069.9,0,38.5,0,0
ECU,2010,316.5,38979.3,93254.2,14610.7,0,45075,194.5,0
ECU,2020,0,26143333,50663668,17947666,0,0,0,0
EGY,1950,0,45140,0,0,0,0,0,0
EGY,1960,0,55.1,0,0,0,0,0,0
EGY,1970,0,0,0,6600,1500,0,0,0
EGY,1980,0,0,0,0,44927,0,0,0
EGY,1990,0,9271.8,0,16412.8,6,0,0,0
EGY,2000,0,25,0,87,44961,0,0,45056
EGY,2010,0,0,0,350,3274.7,0,0,45083
EGY,2020,0,0,0,8878333,0,0,0,0
SLV,1950,0,0,0,0,0,0,0,0
SLV,1960,0,13972,0,0,464,0,0,0
SLV,1970,0,0,0,0,0,0,0,0
SLV,1980,0,80250,0,10706,0,0,0,0
SLV,1990,0,0,0,1495,8600,0,0,0
SLV,2000,40000,160777.1,200,733.2,16554.1,0,0,0
SLV,2010,108661,265.9,6307.9,30709.9,3260.4,0,0,0
SLV,2020,0,0,0,100,53071,175,0,0
ERI,1950,0,0,0,0,0,0,0,0
ERI,1960,0,0,0,0,0,0,0,0
ERI,1970,0,0,0,0,0,0,0,0
ERI,1980,0,0,0,0,0,0,0,0
ERI,1990,390000,0,0,0,1567.5,0,0,0
ERI,2000,170000,0,0,701.3,0,0,0,0
ERI,2010,0,0,0,0,0,0,0,0
ERI,2020,0,0,0,0,0,0,0,0
EST,1950,0,0,0,0,0,0,0,0
EST,1960,0,0,0,0,0,0,0,0
EST,1970,0,0,0,0,0,0,0,0
EST,1980,0,0,0,0,0,0,0,0
EST,1990,0,0,0,0,0,0,0,0
EST,2000,0,0,0,0,10,0,0,0
EST,2010,0,0,0,0,0,0,0,0
EST,2020,0,0,0,0,0,0,0,0
SWZ,1950,0,0,0,0,0,0,0,0
SWZ,1960,0,0,0,0,0,0,0,0
SWZ,1970,0,0,0,0,0,0,0,0
SWZ,1980,0,0,0,0,63250,0,0,0
SWZ,1990,25000,0,0,0,0,0,0,0
SWZ,2000,138000,0,0,27450,768.5,0,150,0
SWZ,2010,72400,0,0,40,0,0,0,0
SWZ,2020,0,0,0,0,0,0,0,0
ETH,1950,0,0,0,0,0,0,0,0
ETH,1960,320000,58.5,0,1600,0,0,0,0
ETH,1970,300000,0,0,8700,0,0,0,0
ETH,1980,2125000,0,0,9524,0,0,0,0
ETH,1990,588620,0,0,84896.6,0,45171,0,0
ETH,2000,2780000,0,1100,122189,0,45062,0.5,0
ETH,2010,1600567.9,0,0,107608,0,44928,0,0
ETH,2020,10300000,0,0,498228.34,0,0,0,0
FJI,1950,0,0,0,0,80,0,0,0
FJI,1960,0,0,0,1800,1000,0,0,0
FJI,1970,0,0,0,0,18505,0,0,0
FJI,1980,3100,0,0,21500,37946.5,0,0,0
FJI,1990,26345.5,0,0,0,17327.5,0,0,0
FJI,2000,0,0,0,1228,3908.2,0,0,0
FJI,2010,6700,0,0,1954.5,78003.9,0,0,0
FJI,2020,0,0,0,0,119143336,0,0,0
FIN,1950,0,0,0,0,0,0,0,0
FIN,1960,0,0,0,0,0,0,0,0
FIN,1970,0,0,0,0,0,0,0,0
FIN,1980,0,0,0,0,0,0,0,0
FIN,1990,0,0,0,0,0,0,0,0
FIN,2000,0,0,0,40,0,0,0,0
FIN,2010,0,0,0,0,0,0,0,0
FIN,2020,0,0,0,0,0,0,0,0
FRA,1950,0,0,0,0,0,0,0,0
FRA,1960,0,110,0,0,0,0,0,0
FRA,1970,0,0.2,0,2600,0,45110,0,0
FRA,1980,0,0,0,432.5,0,2,214.8,0
FRA,1990,0,0,0,589.5,350944.1,44954,126.5,1000
FRA,2000,0,0,0,5367.4,515.8,0,300.4,20
FRA,2010,0,75.4,0,1381.2,50225.6,0,1201.2,0
FRA,2020,0,0,0,10176667,24548,0,0,0
GUF,1950,0,0,0,0,0,0,0,0
GUF,1960,0,0,0,0,0,0,0,0
GUF,1970,0,0,0,0,0,0,0,0
GUF,1980,0,0,0,0,0,0,0,0
GUF,1990,0,0,0,7000,0,0,0,0
GUF,2000,0,0,0,0,0,0.5,0,0
GUF,2010,0,0,0,0,0,0,0,0
GUF,2020,0,0,0,46333332,0,0,0,0
PYF,1950,0,0,0,0,0,0,0,0
PYF,1960,0,0,0,0,0,0,0,0
PYF,1970,0,0,0,0,0,0,0,0
PYF,1980,0,0,0,0,505,0,0,0
PYF,1990,0,0,0,0,0,51.1,0,0
PYF,2000,0,0,0,0,0,0,0,0
PYF,2010,0,0,0,500.4,341.1,0,0,0
PYF,2020,0,0,0,0,0,0,0,0
GAB,1950,0,0,0,0,0,0,0,0
GAB,1960,0,0,0,0,0,0,0,0
GAB,1970,0,0,0,0,0,0,0,0
GAB,1980,0,0,0,1000,0,0,0,0
GAB,1990,0,0,0,0,0,0,0,0
GAB,2000,0,0,0,0,80,0,0,0
